index,name,artist,release_date,length,popularity,tempo,time_signature
0,Smells Like Teen Spirit,Nirvana,1991,5.032,74,116.761,4
1,Stairway to Heaven - Remaster,Led Zeppelin,1971,8.047166667,78,82.433,4
2,Bohemian Rhapsody - Remastered 2011,Queen,1975,5.905333333,74,143.883,4
3,Imagine - Remastered 2010,John Lennon,1971,3.1311,77,75.752,4
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,77,136.302,4
5,Hotel California - 2013 Remaster,Eagles,1976,6.522933333,83,147.125,4
6,Enter Sandman,Metallica,1991,5.526216667,74,123.331,4
7,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.564883333,77,89.74,4
8,Comfortably Numb,Pink Floyd,1979,6.3716,74,127.167,4
9,One,U2,1991,4.6031,76,181.305,4
10,Born to Run,Bruce Springsteen,1975,4.498666667,73,146.347,4
11,Smoke on the Water,Deep Purple,1972,5.702883333,64,114.243,4
12,Hey Jude - Remastered 2015,The Beatles,2000,7.094216667,76,147.207,4
13,Paranoid - 2012 - Remaster,Black Sabbath,1970,2.80675,69,163.071,4
14,Seven Nation Army,The White Stripes,2003,3.862216667,65,123.881,4
15,Free Bird,Lynyrd Skynyrd,1973,9.118433333,71,118.223,4
16,Back In Black,AC/DC,1980,4.258216667,84,188.386,4
17,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,6.302433333,75,116.063,4
18,Wish You Were Here,Pink Floyd,1975,5.57905,77,122.883,4
19,With Or Without You - Remastered,U2,1987,4.92525,79,110.171,4
20,Sweet Child O' Mine,Guns N' Roses,1987,5.908666667,81,125.116,4
21,I Still Haven't Found What I'm Looking For,U2,1987,4.6246,78,100.894,4
22,Like a Rolling Stone,Bob Dylan,1965,6.16,74,95.261,4
23,All Along the Watchtower,Jimi Hendrix,1968,4.013333333,78,113.253,4
24,Under the Bridge,Red Hot Chili Peppers,1991,4.4051,81,84.581,4
25,Creep,Radiohead,1993,3.977333333,82,91.841,4
26,Kashmir - 1990 Remaster,Led Zeppelin,1975,8.47,69,80.617,3
27,Light My Fire,The Doors,1967,7.162666667,73,124.618,4
28,My Generation - Stereo Version,The Who,1965,3.311766667,68,96.732,4
29,More Than a Feeling,Boston,1976,4.752216667,79,108.736,4
30,"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,3.9791,76,104.126,4
31,Layla,Derek & The Dominos,1970,7.064,74,115.669,4
32,Gimme Shelter,The Rolling Stones,1969,4.512883333,75,118.628,4
33,You Shook Me All Night Long,AC/DC,1980,3.502883333,80,127.361,4
34,Alive,Pearl Jam,1991,5.681783333,75,75.009,4
35,Won't Get Fooled Again - Original Album Version,The Who,1971,8.523333333,64,135.027,4
36,London Calling - Remastered,The Clash,1979,3.341333333,73,133.763,4
37,Come As You Are,Nirvana,1991,3.648666667,72,120.125,4
38,Purple Haze,Jimi Hendrix,1967,2.846883333,72,108.9,4
39,Pride (In The Name Of Love) - Remastered 2009,U2,1984,3.8071,59,105.701,4
40,Dream On,Aerosmith,1973,4.449333333,79,160.9,4
41,Sunday Bloody Sunday - Remastered 2008,U2,1983,4.657333333,71,101.174,4
42,Rock and Roll - Remaster,Led Zeppelin,1971,3.676,67,169.613,4
43,In My Life - Remastered 2009,The Beatles,1965,2.438883333,73,103.239,4
44,Let It Be - Remastered 2009,The Beatles,1970,4.050433333,78,143.462,4
45,Baba O'Riley,The Who,1971,5.006666667,77,117.292,4
46,Jeremy,Pearl Jam,1991,5.303766667,72,108.808,4
47,Welcome To The Jungle,Guns N' Roses,1987,4.533766667,78,123.453,4
